,carId,tradeTime,brand,serial,model,mileage,color,cityId,carCode,tansferCount,seatings,productionTime,useTime,country,makeType,time,displacement,gearbox,oilType,newPrice,unknown0,unknown1,unknown2,unknown3,unknown4,unknown5,unknown7,unknown8,unknown9,unknown10,unknown12,unknown13,unknown11_1,unknown11_2,unknown11_3
0,3,0.26301369863013696,8.966353945111468,17.23999833333333,14.347984922911689,6.64,19.351053789772063,13.583152993844406,1,13.657052398239466,18.6787863387979,3.5753424657534247,3.1041095890410957,10.903341038406897,12.53462720415569,3.0,17.75323003985734,11.228469181983069,1,25.98,1.0,18.417901757350588,2,17.14142678571428,6.965965877712035,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,3.989041095890411,14.621998941798454,4.878,1.925,1.734
1,4,0.38082191780821917,14.195161864406792,14.235785990338174,9.380000000509808,8.04,16.314734065315278,17.388692539921777,2,15.137600657894707,25.898958549686576,8.789041095890411,8.323287671232876,30.050506777995967,26.331940769766653,10.0,7.150642248233219,11.228469181983069,1,26.9,1.0,5.59742207715133,2,10.309999315068493,14.136791218130327,7.444238683498615,9.613303135674327,11.545118032786892,14.945621168324532,18.06523961653828,10.876712328767123,13.927286236026907,3.723,1.683,1.407
2,8,0.2273972602739726,10.079492488262915,4.859772258064517,2.6707335372918433,10.19,10.654345568326997,17.388692539921777,2,13.657052398239466,13.250810557860053,9.194520547945206,9.07945205479452,19.34052132508793,12.53462720415569,13.0,7.150642248233219,3.1431584723441652,1,7.58,1.0,7.196092340425604,2,14.347984922911689,9.274063068783011,13.283662141280159,9.613303135674327,13.333861998923648,13.748809791183014,18.06523961653828,11.616438356164384,14.621998941798454,4.415,1.674,1.415
3,9,0.25205479452054796,7.130208072916669,6.536006495884417,8.59968234137871,2.27,19.351053789772063,8.711681593406603,4,13.657052398239466,13.250810557860053,1.832876712328767,1.367123287671233,6.317521655580191,6.616649298454229,2.0,8.1152694942164,21.087866702937923,1,8.2,1.0,10.514756082313133,2,7.569658933158397,7.6814862500000105,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,2.252054794520548,13.927286236026907,4.649,1.83,1.705
4,11,0.39452054794520547,10.079492488262915,12.429633941605847,16.688845513919713,7.03,19.351053789772063,13.583152993844406,1,13.657052398239466,13.250810557860053,2.7726027397260276,2.4246575342465753,19.34052132508793,12.53462720415569,2.0,17.75323003985734,21.087866702937923,1,21.79,1.0,13.572572359948698,2,17.908070192307683,9.554792052117193,13.283662141280159,16.67543603811886,13.333861998923648,13.748809791183014,18.06523961653828,2.8575342465753426,14.621998941798454,4.933,1.836,1.469
5,15,0.336986301369863,20.363187373271998,20.906359753954234,30.308030373917678,12.3,19.351053789772063,13.583152993844406,1,13.657052398239466,13.250810557860053,3.83013698630137,3.7150684931506848,19.34052132508793,12.53462720415569,3.0,15.831760919540164,14.683068021390303,1,46.38,1.0,23.90311005893939,2,14.347984922911689,18.04949000571095,13.283662141280159,9.613303135674327,13.333861998923648,13.748809791183014,18.06523961653828,4.082191780821918,14.621998941798454,5.036,1.874,1.466
6,17,0.4,11.399387037036993,10.15366666666773,13.647641826818894,7.27,13.676085784757044,17.388692539921777,1,15.31961008438374,13.250810557860053,5.271232876712329,5.0849315068493155,12.59815269506806,12.53462720415569,6.0,10.50635919317294,53.908925092119325,1,22.98,1.0,13.572572359948698,2,13.67833967379975,11.703512681638031,13.283662141280159,9.613303135674327,13.333861998923648,13.748809791183014,18.06523961653828,6.76986301369863,14.621998941798454,4.84,1.85,1.465
7,19,0.30684931506849317,3.9179365079365094,3.95447765183935,4.256826022390777,6.02,13.676085784757044,11.442601976823395,1,13.657052398239466,13.250810557860053,4.446575342465754,4.301369863013699,6.317521655580191,6.616649298454229,5.0,8.1152694942164,5.75317367280607,1,8.48,1.0,6.555370810210878,2,3.467391307382934,4.612545454545456,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,5.364383561643836,14.621998941798454,4.3,1.815,1.64
8,21,0.30684931506849317,5.813368784530394,6.23499722222223,6.776916310618052,5.7,13.656029342004572,13.583152993844406,1,13.657052398239466,13.250810557860053,4.112328767123287,3.956164383561644,6.317521655580191,6.616649298454229,5.0,6.695355555555562,6.046620547945209,1,9.98,1.0,10.514756082313133,2,14.347984922911689,5.745361731843583,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,5.364383561643836,13.927286236026907,4.44,1.833,1.56
9,27,0.41643835616438357,6.46918424543948,2.888181818181963,14.347984922911689,16.99,11.5439001579779,8.155522565543064,2,13.657052398239466,13.250810557860053,7.1726027397260275,6.986301369863014,6.317521655580191,6.616649298454229,7.0,8.1152694942164,5.40000608899298,1,9.79,1.0,18.417901757350588,2,7.072989425981883,6.46918424543948,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,7.424657534246576,14.621998941798454,4.81,1.855,1.725
10,28,0.3041095890410959,22.498493133223878,25.50775,22.500761214028255,8.37,16.314734065315278,17.388692539921777,1,15.31961008438374,13.250810557860053,4.449315068493151,4.134246575342465,19.34052132508793,26.331940769766653,4.0,17.75323003985734,29.475870330349224,1,45.4,1.0,13.572572359948698,2,31.21444,25.404152100840268,17.24134100840333,16.67543603811886,14.743832589222007,13.748809791183014,18.06523961653828,4.947945205479452,13.927286236026907,4.852,1.828,1.518
11,29,0.27945205479452057,5.442141111111111,12.695450001253043,13.949352629928908,0.48,13.656029342004572,11.442601976823395,4,13.657052398239466,13.250810557860053,1.7205479452054795,1.4191780821917808,6.317521655580191,6.616649298454229,2.0,17.75323003985734,73.02785357131827,1,14.98,1.0,14.365992086330936,2,13.535291176470592,7.6814862500000105,14.365992086330936,16.67543603811886,13.333861998923648,14.945621168324532,18.06523961653828,2.0547945205479454,13.927286236026907,5.41,1.934,1.886
12,30,0.33972602739726027,26.819377681874535,19.138552577319576,14.347984922911689,6.4,13.676085784757044,17.388692539921777,2,13.657052398239466,13.250810557860053,7.83013698630137,7.64931506849315,19.34052132508793,26.331940769766653,8.0,36.13086158392464,24.899176577946637,1,55.8,1.0,18.417901757350588,2,14.347984922911689,23.3183233082706,16.808603419188007,9.613303135674327,14.743832589222007,14.945621168324532,18.06523961653828,8.082191780821917,13.927286236026907,4.528,1.84,1.689
13,35,0.3972602739726027,10.079492488262915,27.183265306122443,25.132669064242982,1.76,19.351053789772063,8.711681593406603,1,13.657052398239466,18.6787863387979,2.936986301369863,2.6164383561643834,19.34052132508793,12.53462720415569,4.0,17.75323003985734,21.087866702937923,1,33.89,1.0,38.0824672496027,2,17.908070192307683,9.554792052117193,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,4.441095890410959,13.927286236026907,5.039,1.989,1.773
14,36,0.2821917808219178,22.498493133223878,17.552183216783177,7.367848636387153,20.97,10.654345568326997,17.388692539921777,3,15.31961008438374,13.250810557860053,14.810958904109588,14.575342465753424,19.34052132508793,12.53462720415569,16.0,17.75323003985734,11.228469181983069,1,33.98,1.0,13.572572359948698,2,8.257068965517242,20.321176927979533,13.283662141280159,9.613303135674327,13.333861998923648,13.748809791183014,18.06523961653828,14.01095890410959,14.621998941798454,4.52,1.817,1.421
15,37,0.29863013698630136,15.442869786250695,19.753760824742287,14.347984922911689,6.9,13.676085784757044,17.388692539921777,1,13.657052398239466,18.6787863387979,3.786301369863014,3.6794520547945204,12.59815269506806,12.53462720415569,4.0,17.75323003985734,11.228469181983069,1,33.08,1.0,18.417901757350588,2,24.20823956043958,13.14497675753227,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,5.561643835616438,13.927286236026907,4.855,1.925,1.72
16,39,0.3232876712328767,8.966353945111468,17.23999833333333,13.709781806002445,4.06,13.676085784757044,8.711681593406603,1,13.657052398239466,13.250810557860053,6.013698630136986,5.816438356164384,10.903341038406897,12.53462720415569,6.0,17.75323003985734,11.228469181983069,1,24.98,1.0,18.417901757350588,2,17.14142678571428,6.965965877712035,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,6.432876712328767,13.927286236026907,4.878,1.925,1.734
17,42,0.3835616438356164,5.813368784530394,2.716856216506414,14.347984922911689,9.61,13.676085784757044,8.155522565543064,2,13.657052398239466,13.250810557860053,8.038356164383561,7.736986301369863,6.317521655580191,6.616649298454229,8.0,9.675467756482506,3.1431584723441652,1,9.69,1.0,10.514756082313133,2,2.276002612603527,5.745361731843583,16.808603419188007,9.613303135674327,14.743832589222007,14.945621168324532,18.06523961653828,8.29041095890411,13.927286236026907,4.541,1.833,1.7
18,43,0.29315068493150687,10.079492488262915,10.128106722689083,9.001125704493635,10.83,19.351053789772063,17.388692539921777,2,13.657052398239466,13.250810557860053,9.87945205479452,9.698630136986301,19.34052132508793,12.53462720415569,9.0,17.75323003985734,11.228469181983069,1,28.68,1.0,10.514756082313133,2,14.347984922911689,9.554792052117193,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,9.797260273972602,13.927286236026907,4.525,1.809,1.685
19,44,0.25205479452054796,8.742444428364704,3.044571428571449,4.281195912696447,13.5,10.811611751463275,8.155522565543064,2,13.657052398239466,13.250810557860053,10.257534246575343,9.745205479452055,12.59815269506806,12.53462720415569,11.0,7.150642248233219,4.017890240452619,1,12.28,1.0,7.196092340425604,2,3.011621621621624,8.31214880546076,13.283662141280159,9.613303135674327,13.333861998923648,13.748809791183014,18.06523961653828,11.33972602739726,14.621998941798454,4.515,1.745,1.465
20,46,0.3726027397260274,6.417041603053441,10.887500000006506,10.833750000360626,2.42,10.654345568326997,17.388692539921777,1,13.657052398239466,13.250810557860053,4.213698630136986,4.0,6.317521655580191,6.616649298454229,4.0,8.1152694942164,8.8534164556962,2,28.59,1.0,10.514756082313133,2,14.347984922911689,5.908652570093461,16.808603419188007,16.67543603811886,14.743832589222007,14.945621168324532,18.06523961653828,4.794520547945205,13.927286236026907,4.554,1.855,1.719
